CATAID,Z,nQ,Z_TONRY,logmstar,dellogmstar,logage,dellogage,metal,delmetal,gminusi,delgminusi,CATAID.1,X,Y,Z.1,d,GroupID,BranchID,FilID,CATAID.2,X.1,Y.1,Z.2,TendrilID
543799,0.18154,4,0.182564,10.8948,0.0963373,9.82594,0.163251,0.0122587,0.00744034,1.128,0.0474924,543799.0,41.7054475762651,525.993469088067,-9.00941927257479,1.99755,307172.0,1500640002.0,150064.0,,,,,
543802,0.1385,4,0.139486,10.3022,0.123774,9.69196,0.251245,0.0118608,0.00713968,0.692949,0.040255,543802.0,32.0460843994887,405.50600207383,-7.32030411659854,1.00206,0.0,1500100002.0,150010.0,,,,,
543803,0.1953,4,0.196336,10.4665,0.111507,9.71443,0.2241,0.00949982,0.00665375,0.678165,0.0405504,543803.0,44.5378871356197,564.032239902478,-10.1550711812234,2.60177,301309.0,1501500001.0,150150.0,,,,,
543805,0.13856,4,0.139546,10.4129,0.126677,9.70675,0.252701,0.0118253,0.0074753,0.857907,0.0442082,543805.0,31.9797824172387,405.690423238715,-6.77675254334849,1.09068,0.0,1500100002.0,150010.0,,,,,
543806,0.13866,4,0.139646,10.2575,0.103882,9.84719,0.169331,0.00743932,0.00647668,0.989611,0.0520772,543806.0,31.7987370175696,405.9940548479,-6.33341002104163,1.4627,0.0,1500100002.0,150010.0,,,,,
543807,0.07705,5,0.0779823,10.3171,0.118525,9.78842,0.222272,0.00914764,0.00729997,0.877126,0.0424247,543807.0,17.9300314339435,229.559064208785,-4.03930013272319,3.14401,0.0,1500410002.0,150041.0,,,,,
543808,0.1382,4,0.139185,10.4345,0.0933793,9.86961,0.150634,0.0100003,0.00729145,1.15229,0.0521687,543808.0,31.58200103063,404.692345529252,-6.96434627404115,5.6894e-07,302726.0,1500100002.0,150010.0,,,,,
543810,0.13773,4,0.138715,10.3218,0.106228,9.83644,0.177319,0.00855364,0.00705086,1.05599,0.0518744,543810.0,31.4152851323468,403.366177427495,-7.05556866793959,1.33971,302726.0,1500100002.0,150010.0,,,,,
543811,0.17173,4,0.172744,10.473,0.100467,9.83987,0.165124,0.00882851,0.00705955,1.10692,0.0520511,543811.0,38.8423768747036,498.796448971352,-7.77110402222866,3.37698,0.0,1500650001.0,150065.0,,,,,
543813,0.1162,4,0.117168,10.1211,0.118783,9.75565,0.227608,0.00922518,0.00705416,0.793172,0.0456853,543813.0,27.4090003378712,342.164061411842,-5.46688630856176,2.07863,0.0,1500560002.0,150056.0,,,,,
